# pt34_34   
# underflow	  0.0000000    	  0.0000000    
# overflow	  681.52329    	  26.113640    
# sum	  208892.25    	  11609.333    
# xmin	xmax	cross	numerror
  0.0000000    	  1.0000000    	  35.810094    	  30.522612    
  1.0000000    	  2.0000000    	  17540.292    	  4502.5815    
  2.0000000    	  3.0000000    	  18344.536    	  3574.8603    
  3.0000000    	  4.0000000    	  13513.186    	  3226.2522    
  4.0000000    	  5.0000000    	  13186.504    	  2715.5961    
  5.0000000    	  6.0000000    	  12854.019    	  2604.1091    
  6.0000000    	  7.0000000    	  12344.927    	  2653.0898    
  7.0000000    	  8.0000000    	  10239.148    	  2314.5545    
  8.0000000    	  9.0000000    	  12155.539    	  2329.5951    
  9.0000000    	  10.000000    	  5325.7417    	  1591.0831    
  10.000000    	  11.000000    	  8314.8647    	  1933.7303    
  11.000000    	  12.000000    	  983.58800    	  910.00906    
  12.000000    	  13.000000    	  2254.0491    	  1202.5848    
  13.000000    	  14.000000    	  7471.3420    	  1628.1944    
  14.000000    	  15.000000    	  2784.2048    	  989.07937    
  15.000000    	  16.000000    	  1638.4113    	  827.17103    
  16.000000    	  17.000000    	  2047.0696    	  961.08506    
  17.000000    	  18.000000    	  1363.9396    	  697.62001    
  18.000000    	  19.000000    	  867.92644    	  678.87501    
  19.000000    	  20.000000    	  1955.0244    	  769.39570    
  20.000000    	  21.000000    	  2859.0441    	  957.82016    
  21.000000    	  22.000000    	  1369.3678    	  694.03559    
  22.000000    	  23.000000    	  553.98737    	  498.10635    
  23.000000    	  24.000000    	  1284.6040    	  509.31172    
  24.000000    	  25.000000    	  972.97270    	  472.26388    
  25.000000    	  26.000000    	  530.83354    	  444.12713    
  26.000000    	  27.000000    	  408.39540    	  403.68688    
  27.000000    	  28.000000    	  1011.7864    	  521.39870    
  28.000000    	  29.000000    	  1132.7079    	  342.36931    
  29.000000    	  30.000000    	  683.05394    	  395.21649    
  30.000000    	  31.000000    	  1866.7747    	  241.51876    
  31.000000    	  32.000000    	  597.16110    	  408.22791    
  32.000000    	  33.000000    	  696.49477    	  376.23308    
  33.000000    	  34.000000    	  831.15320    	  337.23677    
  34.000000    	  35.000000    	  1825.5976    	  474.34342    
  35.000000    	  36.000000    	  745.82169    	  317.63905    
  36.000000    	  37.000000    	  1400.5244    	  272.57014    
  37.000000    	  38.000000    	  1405.1099    	  213.65586    
  38.000000    	  39.000000    	  793.84299    	  160.46828    
  39.000000    	  40.000000    	  894.26317    	  235.36324    
  40.000000    	  41.000000    	  2044.0095    	  703.72810    
  41.000000    	  42.000000    	  1876.5955    	  722.42467    
  42.000000    	  43.000000    	  395.68949    	  271.89072    
  43.000000    	  44.000000    	  831.23541    	  293.01918    
  44.000000    	  45.000000    	  1002.0699    	  243.17778    
  45.000000    	  46.000000    	  928.69028    	  138.32338    
  46.000000    	  47.000000    	  3899.5930    	  3418.7867    
  47.000000    	  48.000000    	  1005.2710    	  304.85138    
  48.000000    	  49.000000    	  1559.5394    	  713.76805    
  49.000000    	  50.000000    	  3525.0485    	  3189.1662    
  50.000000    	  51.000000    	  1119.9212    	  466.65451    
  51.000000    	  52.000000    	  691.06348    	  191.14048    
  52.000000    	  53.000000    	  3147.6365    	  1894.8326    
  53.000000    	  54.000000    	  617.41750    	  187.75102    
  54.000000    	  55.000000    	  385.82575    	  108.66817    
  55.000000    	  56.000000    	  449.80682    	  220.52360    
  56.000000    	  57.000000    	  2980.4240    	  1490.6231    
  57.000000    	  58.000000    	  1356.7845    	  1077.6640    
  58.000000    	  59.000000    	  506.29257    	  251.61861    
  59.000000    	  60.000000    	  594.64358    	  321.32375    
  60.000000    	  61.000000    	  317.82877    	  81.384013    
  61.000000    	  62.000000    	  467.74867    	  120.31028    
  62.000000    	  63.000000    	  221.22299    	  47.312284    
  63.000000    	  64.000000    	  2704.4123    	  1763.3925    
  64.000000    	  65.000000    	  316.60746    	  126.48364    
  65.000000    	  66.000000    	  1004.7900    	  615.40623    
  66.000000    	  67.000000    	  241.33294    	  49.599239    
  67.000000    	  68.000000    	  1495.3614    	  1275.0740    
  68.000000    	  69.000000    	  233.68034    	  67.228335    
  69.000000    	  70.000000    	  1984.3905    	  1745.8545    
  70.000000    	  71.000000    	  632.82463    	  382.23710    
  71.000000    	  72.000000    	  143.26234    	  30.942040    
  72.000000    	  73.000000    	  738.13191    	  627.14134    
  73.000000    	  74.000000    	  111.86901    	  26.571514    
  74.000000    	  75.000000    	  115.42786    	  23.187139    
  75.000000    	  76.000000    	  60.643753    	  54.395552    
  76.000000    	  77.000000    	  155.87450    	  48.923105    
  77.000000    	  78.000000    	  167.17801    	  34.109509    
  78.000000    	  79.000000    	  75.761989    	  31.681076    
  79.000000    	  80.000000    	  129.18396    	  44.094485    
  80.000000    	  81.000000    	  70.263368    	  24.828192    
  81.000000    	  82.000000    	  41.092728    	  17.401854    
  82.000000    	  83.000000    	  68.722073    	  15.716658    
  83.000000    	  84.000000    	  60.230233    	  16.979758    
  84.000000    	  85.000000    	  62.406961    	  19.339118    
  85.000000    	  86.000000    	  59.374441    	  17.589645    
  86.000000    	  87.000000    	  69.483831    	  15.798825    
  87.000000    	  88.000000    	  88.875915    	  17.270994    
  88.000000    	  89.000000    	  41.584376    	  13.868609    
  89.000000    	  90.000000    	  23.663599    	  11.397431    
  90.000000    	  91.000000    	  29.342515    	  11.946518    
  91.000000    	  92.000000    	  38.136930    	  12.457305    
