# pt34_14   
# underflow	  0.0000000    	  0.0000000    
# overflow	  0.0000000    	  0.0000000    
# sum	  562670.30    	  16724.484    
# xmin	xmax	cross	numerror
  0.0000000    	  1.0000000    	  229.38880    	  155.01156    
  1.0000000    	  2.0000000    	  23995.198    	  2880.5018    
  2.0000000    	  3.0000000    	  35134.352    	  3507.2628    
  3.0000000    	  4.0000000    	  35128.120    	  3473.3295    
  4.0000000    	  5.0000000    	  40002.154    	  3762.5267    
  5.0000000    	  6.0000000    	  27715.750    	  2780.3350    
  6.0000000    	  7.0000000    	  31253.571    	  3256.4960    
  7.0000000    	  8.0000000    	  31718.328    	  3408.0100    
  8.0000000    	  9.0000000    	  19303.373    	  2424.0977    
  9.0000000    	  10.000000    	  25994.942    	  3042.2355    
  10.000000    	  11.000000    	  24731.427    	  2942.2226    
  11.000000    	  12.000000    	  20227.072    	  2641.5869    
  12.000000    	  13.000000    	  16291.966    	  2190.5101    
  13.000000    	  14.000000    	  17305.542    	  2369.2169    
  14.000000    	  15.000000    	  16646.904    	  2375.1398    
  15.000000    	  16.000000    	  15216.116    	  2254.2648    
  16.000000    	  17.000000    	  10030.202    	  1605.2923    
  17.000000    	  18.000000    	  11555.640    	  1787.4437    
  18.000000    	  19.000000    	  13489.010    	  2252.7602    
  19.000000    	  20.000000    	  6086.7171    	  1238.3734    
  20.000000    	  21.000000    	  9817.8778    	  1745.0927    
  21.000000    	  22.000000    	  3132.8447    	  818.54398    
  22.000000    	  23.000000    	  2789.4377    	  818.70120    
  23.000000    	  24.000000    	  3432.4651    	  885.74982    
  24.000000    	  25.000000    	  5190.0644    	  1234.6709    
  25.000000    	  26.000000    	  5156.3267    	  1110.4963    
  26.000000    	  27.000000    	  4550.8279    	  1047.5840    
  27.000000    	  28.000000    	  3208.1895    	  819.55009    
  28.000000    	  29.000000    	  1675.5760    	  597.02800    
  29.000000    	  30.000000    	  2347.0468    	  681.21369    
  30.000000    	  31.000000    	  3226.2666    	  843.72375    
  31.000000    	  32.000000    	  1886.8603    	  609.25937    
  32.000000    	  33.000000    	  2079.6251    	  697.22360    
  33.000000    	  34.000000    	  1627.2566    	  509.22774    
  34.000000    	  35.000000    	  2624.2636    	  850.07462    
  35.000000    	  36.000000    	  2838.3264    	  786.19971    
  36.000000    	  37.000000    	  2550.3873    	  840.07076    
  37.000000    	  38.000000    	  2023.3487    	  781.96719    
  38.000000    	  39.000000    	  1634.3187    	  595.43693    
  39.000000    	  40.000000    	  1863.7578    	  713.68650    
  40.000000    	  41.000000    	  1973.3437    	  647.50248    
  41.000000    	  42.000000    	  1626.4728    	  655.13320    
  42.000000    	  43.000000    	  2684.4593    	  911.34716    
  43.000000    	  44.000000    	  1524.0503    	  720.97333    
  44.000000    	  45.000000    	  1386.2809    	  677.42511    
  45.000000    	  46.000000    	  2447.6260    	  844.30470    
  46.000000    	  47.000000    	  3073.1946    	  1401.8712    
  47.000000    	  48.000000    	  1313.8025    	  680.93414    
  48.000000    	  49.000000    	  1014.4079    	  557.19366    
  49.000000    	  50.000000    	  963.64097    	  540.89486    
  50.000000    	  51.000000    	  2160.5742    	  1164.3991    
  51.000000    	  52.000000    	  258.09326    	  164.62655    
  52.000000    	  53.000000    	  1280.5725    	  836.74154    
  53.000000    	  54.000000    	  652.83137    	  339.16984    
  54.000000    	  55.000000    	  1756.1557    	  1361.8694    
  55.000000    	  56.000000    	  982.88242    	  580.89356    
  56.000000    	  57.000000    	  1417.5479    	  923.72071    
  57.000000    	  58.000000    	  1776.3718    	  1053.8841    
  58.000000    	  59.000000    	  1727.7130    	  1028.0782    
  59.000000    	  60.000000    	  2977.7142    	  2114.8723    
  60.000000    	  61.000000    	  1006.7062    	  587.82034    
  61.000000    	  62.000000    	  8207.2708    	  5969.9488    
  62.000000    	  63.000000    	  1289.3218    	  1058.0473    
  63.000000    	  64.000000    	  2052.4824    	  798.46865    
  64.000000    	  65.000000    	  2229.5447    	  2229.5447    
  65.000000    	  66.000000    	  2911.4553    	  1894.4808    
  66.000000    	  67.000000    	  371.32756    	  246.94183    
  67.000000    	  68.000000    	  1198.6776    	  917.19855    
  68.000000    	  69.000000    	  383.18811    	  334.94763    
  69.000000    	  70.000000    	  4376.1357    	  2770.1819    
  70.000000    	  71.000000    	  3354.2758    	  2387.7603    
  71.000000    	  72.000000    	  4606.8978    	  2408.2780    
  72.000000    	  73.000000    	  6598.0298    	  4674.9454    
  73.000000    	  74.000000    	  3897.8078    	  3897.8078    
  74.000000    	  75.000000    	  50.526213    	  49.550682    
  75.000000    	  76.000000    	  0.0000000    	  0.0000000    
  76.000000    	  77.000000    	  139.76379    	  100.63599    
  77.000000    	  78.000000    	  887.04982    	  682.58236    
  78.000000    	  79.000000    	  637.42595    	  637.42595    
  79.000000    	  80.000000    	 -236.16287    	  236.16287    
  80.000000    	  81.000000    	  0.0000000    	  0.0000000    
  81.000000    	  82.000000    	  0.0000000    	  0.0000000    
  82.000000    	  83.000000    	  0.0000000    	  0.0000000    
  83.000000    	  84.000000    	  0.0000000    	  0.0000000    
  84.000000    	  85.000000    	  0.0000000    	  0.0000000    
  85.000000    	  86.000000    	  0.0000000    	  0.0000000    
