# pt34_28   
# underflow	  0.0000000    	  0.0000000    
# overflow	  3173.3912    	  64.617403    
# sum	  742847.78    	  10123.394    
# xmin	xmax	cross	numerror
  0.0000000    	  1.0000000    	  2072.0578    	  617.54377    
  1.0000000    	  2.0000000    	  93284.133    	  2368.3024    
  2.0000000    	  3.0000000    	  76795.734    	  2095.2118    
  3.0000000    	  4.0000000    	  60952.040    	  2017.9909    
  4.0000000    	  5.0000000    	  50378.247    	  1986.4749    
  5.0000000    	  6.0000000    	  40460.872    	  1858.3522    
  6.0000000    	  7.0000000    	  33995.749    	  1740.1318    
  7.0000000    	  8.0000000    	  31082.247    	  1756.3957    
  8.0000000    	  9.0000000    	  26315.681    	  1679.3645    
  9.0000000    	  10.000000    	  23738.304    	  1599.4954    
  10.000000    	  11.000000    	  20736.290    	  1474.5965    
  11.000000    	  12.000000    	  19037.785    	  1513.2450    
  12.000000    	  13.000000    	  15591.766    	  1232.3943    
  13.000000    	  14.000000    	  12830.795    	  1094.1637    
  14.000000    	  15.000000    	  11421.990    	  964.97826    
  15.000000    	  16.000000    	  11144.081    	  1111.8149    
  16.000000    	  17.000000    	  10375.098    	  1025.1872    
  17.000000    	  18.000000    	  10127.018    	  1064.7386    
  18.000000    	  19.000000    	  8686.8291    	  912.76739    
  19.000000    	  20.000000    	  8125.2649    	  975.42107    
  20.000000    	  21.000000    	  7422.4570    	  864.28345    
  21.000000    	  22.000000    	  6924.6004    	  879.29286    
  22.000000    	  23.000000    	  6341.7904    	  824.06678    
  23.000000    	  24.000000    	  6377.9330    	  906.71947    
  24.000000    	  25.000000    	  5730.5582    	  810.20478    
  25.000000    	  26.000000    	  5500.9100    	  802.77759    
  26.000000    	  27.000000    	  4625.9843    	  670.86079    
  27.000000    	  28.000000    	  5061.0294    	  763.36273    
  28.000000    	  29.000000    	  4054.5692    	  648.46070    
  29.000000    	  30.000000    	  4540.5715    	  839.01790    
  30.000000    	  31.000000    	  4134.7851    	  850.08582    
  31.000000    	  32.000000    	  4401.7373    	  795.43957    
  32.000000    	  33.000000    	  3917.8987    	  761.36672    
  33.000000    	  34.000000    	  3320.4083    	  700.98954    
  34.000000    	  35.000000    	  3758.0613    	  761.76957    
  35.000000    	  36.000000    	  3340.4523    	  763.87462    
  36.000000    	  37.000000    	  4206.1754    	  1148.0929    
  37.000000    	  38.000000    	  3108.6841    	  687.81258    
  38.000000    	  39.000000    	  2833.5268    	  846.35064    
  39.000000    	  40.000000    	  2891.6032    	  584.63143    
  40.000000    	  41.000000    	  2839.7150    	  687.85294    
  41.000000    	  42.000000    	  3042.4168    	  952.00823    
  42.000000    	  43.000000    	  2706.0877    	  763.34882    
  43.000000    	  44.000000    	  2718.4024    	  753.57029    
  44.000000    	  45.000000    	  2623.6772    	  826.65915    
  45.000000    	  46.000000    	  2310.3929    	  726.81614    
  46.000000    	  47.000000    	  1828.4527    	  703.51528    
  47.000000    	  48.000000    	  2447.2363    	  929.73263    
  48.000000    	  49.000000    	  2267.1255    	  677.21677    
  49.000000    	  50.000000    	  3279.4305    	  1274.2941    
  50.000000    	  51.000000    	  2682.3716    	  1101.5082    
  51.000000    	  52.000000    	  2712.0717    	  1145.0523    
  52.000000    	  53.000000    	  2183.1155    	  956.85690    
  53.000000    	  54.000000    	  2414.5679    	  1173.6936    
  54.000000    	  55.000000    	  2549.6269    	  1066.6670    
  55.000000    	  56.000000    	  1942.6906    	  988.87530    
  56.000000    	  57.000000    	  2117.1583    	  1761.4982    
  57.000000    	  58.000000    	  3064.2883    	  1282.5904    
  58.000000    	  59.000000    	  1803.0182    	  1108.0707    
  59.000000    	  60.000000    	  1979.4532    	  1126.6931    
  60.000000    	  61.000000    	  1721.6898    	  801.07037    
  61.000000    	  62.000000    	  2147.0412    	  1079.0314    
  62.000000    	  63.000000    	  2507.0125    	  1560.6345    
  63.000000    	  64.000000    	  2817.6471    	  1478.4394    
  64.000000    	  65.000000    	  1522.2549    	  1216.9331    
  65.000000    	  66.000000    	  2001.3071    	  1252.3867    
  66.000000    	  67.000000    	  1529.2367    	  760.75146    
  67.000000    	  68.000000    	  154.26471    	  56.698106    
  68.000000    	  69.000000    	  1627.4618    	  829.77012    
  69.000000    	  70.000000    	  2490.6251    	  1682.5232    
  70.000000    	  71.000000    	  259.88353    	  44.517929    
  71.000000    	  72.000000    	  1336.1815    	  1164.1376    
  72.000000    	  73.000000    	  1503.5962    	  1297.9284    
  73.000000    	  74.000000    	  1730.8959    	  1506.7254    
  74.000000    	  75.000000    	  251.94653    	  33.375217    
  75.000000    	  76.000000    	  1862.2830    	  1220.3334    
  76.000000    	  77.000000    	  1439.9500    	  967.91826    
  77.000000    	  78.000000    	  191.51981    	  36.777776    
  78.000000    	  79.000000    	  105.41497    	  37.784975    
  79.000000    	  80.000000    	  488.01701    	  459.50570    
  80.000000    	  81.000000    	  241.21306    	  24.897852    
  81.000000    	  82.000000    	  191.83897    	  22.405432    
  82.000000    	  83.000000    	  146.21521    	  20.490819    
  83.000000    	  84.000000    	  167.33775    	  20.724897    
  84.000000    	  85.000000    	  219.90811    	  20.255444    
  85.000000    	  86.000000    	  128.34180    	  19.225895    
  86.000000    	  87.000000    	  177.11234    	  20.797202    
  87.000000    	  88.000000    	  152.11426    	  18.578052    
  88.000000    	  89.000000    	  143.92961    	  18.100897    
  89.000000    	  90.000000    	  143.95069    	  16.999926    
  90.000000    	  91.000000    	  140.45900    	  16.382284    
  91.000000    	  92.000000    	  117.55462    	  16.520962    
  92.000000    	  93.000000    	  119.44748    	  15.243066    
  93.000000    	  94.000000    	  117.19089    	  14.694322    
  94.000000    	  95.000000    	  129.95482    	  13.909308    
  95.000000    	  96.000000    	  109.57398    	  13.934999    
  96.000000    	  97.000000    	  88.989658    	  13.819443    
  97.000000    	  98.000000    	  98.283218    	  13.213611    
  98.000000    	  99.000000    	  105.66120    	  12.994772    
  99.000000    	  100.00000    	  90.068669    	  12.325806    
