# pt34_4    
# underflow	  0.0000000    	  0.0000000    
# overflow	  10502.906    	  123.09348    
# sum	  1891918.4    	  15471.102    
# xmin	xmax	cross	numerror
  0.0000000    	  1.0000000    	  4301.1870    	  851.78977    
  1.0000000    	  2.0000000    	  201677.90    	  3481.6746    
  2.0000000    	  3.0000000    	  183428.51    	  2964.6478    
  3.0000000    	  4.0000000    	  152229.16    	  3037.4236    
  4.0000000    	  5.0000000    	  124289.96    	  2957.4160    
  5.0000000    	  6.0000000    	  101037.09    	  2811.0900    
  6.0000000    	  7.0000000    	  90651.135    	  2875.3063    
  7.0000000    	  8.0000000    	  81005.131    	  2815.8112    
  8.0000000    	  9.0000000    	  68398.376    	  2632.9929    
  9.0000000    	  10.000000    	  60301.486    	  2586.7053    
  10.000000    	  11.000000    	  54123.846    	  2412.5161    
  11.000000    	  12.000000    	  47131.056    	  2297.2335    
  12.000000    	  13.000000    	  45504.416    	  2356.7117    
  13.000000    	  14.000000    	  39338.040    	  2174.2527    
  14.000000    	  15.000000    	  35901.312    	  2078.7649    
  15.000000    	  16.000000    	  35709.783    	  2146.0368    
  16.000000    	  17.000000    	  28703.342    	  1837.9470    
  17.000000    	  18.000000    	  27961.238    	  1831.8591    
  18.000000    	  19.000000    	  27257.743    	  1905.2590    
  19.000000    	  20.000000    	  23435.272    	  1738.8209    
  20.000000    	  21.000000    	  21935.855    	  1626.3935    
  21.000000    	  22.000000    	  21387.617    	  1763.9157    
  22.000000    	  23.000000    	  17282.144    	  1447.9106    
  23.000000    	  24.000000    	  19024.132    	  1634.6287    
  24.000000    	  25.000000    	  17612.735    	  1587.3106    
  25.000000    	  26.000000    	  13957.657    	  1298.2383    
  26.000000    	  27.000000    	  15029.142    	  1484.7576    
  27.000000    	  28.000000    	  13580.871    	  1371.7896    
  28.000000    	  29.000000    	  12739.653    	  1317.8787    
  29.000000    	  30.000000    	  12803.962    	  1389.6642    
  30.000000    	  31.000000    	  9784.8952    	  1087.5018    
  31.000000    	  32.000000    	  9643.5058    	  1078.6649    
  32.000000    	  33.000000    	  12011.351    	  1333.0630    
  33.000000    	  34.000000    	  9114.3722    	  1180.9659    
  34.000000    	  35.000000    	  8197.1419    	  1130.1334    
  35.000000    	  36.000000    	  8310.7843    	  1116.0877    
  36.000000    	  37.000000    	  6336.4325    	  734.88607    
  37.000000    	  38.000000    	  8002.1137    	  1149.6879    
  38.000000    	  39.000000    	  7727.9554    	  1186.6817    
  39.000000    	  40.000000    	  6810.0666    	  1138.9977    
  40.000000    	  41.000000    	  6875.8148    	  1103.2752    
  41.000000    	  42.000000    	  8827.6189    	  1698.8607    
  42.000000    	  43.000000    	  7268.5811    	  1191.8472    
  43.000000    	  44.000000    	  7121.3315    	  1306.8839    
  44.000000    	  45.000000    	  6229.8832    	  1156.7147    
  45.000000    	  46.000000    	  6214.1010    	  1190.9285    
  46.000000    	  47.000000    	  8722.2452    	  1914.5646    
  47.000000    	  48.000000    	  5849.4238    	  1523.3571    
  48.000000    	  49.000000    	  7384.0896    	  1584.8775    
