# pt34_38   
# underflow	  5.2767784    	  4.2503712    
# overflow	  25.507151    	 0.15368661    
# sum	  32035.785    	  1829.7581    
# xmin	xmax	cross	numerror
 0.10000000    	  1.0000000    	  663.49775    	  332.66649    
  1.0000000    	  2.0000000    	  1156.9592    	  353.95906    
  2.0000000    	  3.0000000    	  1441.1972    	  341.13328    
  3.0000000    	  4.0000000    	  1418.4127    	  314.76340    
  4.0000000    	  5.0000000    	  1490.2931    	  326.78632    
  5.0000000    	  6.0000000    	  1154.0775    	  274.03101    
  6.0000000    	  7.0000000    	  1016.7549    	  266.16308    
  7.0000000    	  8.0000000    	  1211.2858    	  300.73809    
  8.0000000    	  9.0000000    	  821.48945    	  212.45664    
  9.0000000    	  10.000000    	  818.02436    	  216.25945    
  10.000000    	  11.000000    	  810.64485    	  242.28673    
  11.000000    	  12.000000    	  1102.5423    	  298.78168    
  12.000000    	  13.000000    	  483.22397    	  149.40225    
  13.000000    	  14.000000    	  1071.2387    	  337.85629    
  14.000000    	  15.000000    	  634.78865    	  196.66845    
  15.000000    	  16.000000    	  573.23721    	  197.73409    
  16.000000    	  17.000000    	  548.53949    	  166.63573    
  17.000000    	  18.000000    	  527.13815    	  210.22251    
  18.000000    	  19.000000    	  449.39673    	  180.43011    
  19.000000    	  20.000000    	  798.94134    	  232.65511    
  20.000000    	  21.000000    	  505.60033    	  246.27526    
  21.000000    	  22.000000    	  466.73725    	  215.58042    
  22.000000    	  23.000000    	  475.97578    	  182.35332    
  23.000000    	  24.000000    	  547.45212    	  178.21680    
  24.000000    	  25.000000    	  462.32733    	  231.32542    
  25.000000    	  26.000000    	  411.92752    	  168.94733    
  26.000000    	  27.000000    	  639.04117    	  272.78351    
  27.000000    	  28.000000    	  378.74495    	  165.44940    
  28.000000    	  29.000000    	  254.69885    	  119.20213    
  29.000000    	  30.000000    	  373.43126    	  152.93200    
  30.000000    	  31.000000    	  535.63992    	  309.34117    
  31.000000    	  32.000000    	  483.58323    	  217.56113    
  32.000000    	  33.000000    	  479.68518    	  230.85137    
  33.000000    	  34.000000    	  402.72946    	  280.22212    
  34.000000    	  35.000000    	  266.12908    	  132.67700    
  35.000000    	  36.000000    	  343.00417    	  154.09904    
  36.000000    	  37.000000    	  309.20087    	  141.22216    
  37.000000    	  38.000000    	  389.16068    	  272.17468    
  38.000000    	  39.000000    	  12.613862    	  2.5884759    
  39.000000    	  40.000000    	  421.10850    	  243.64750    
  40.000000    	  41.000000    	  339.62103    	  228.25695    
  41.000000    	  42.000000    	  480.08393    	  329.68751    
  42.000000    	  43.000000    	  255.31983    	  242.59534    
  43.000000    	  44.000000    	  315.19368    	  226.14586    
  44.000000    	  45.000000    	  422.34337    	  187.99303    
  45.000000    	  46.000000    	  313.13979    	  222.63699    
  46.000000    	  47.000000    	  267.36798    	  250.64232    
  47.000000    	  48.000000    	  208.93653    	  193.01724    
  48.000000    	  49.000000    	  297.86970    	  282.28352    
  49.000000    	  50.000000    	  387.65280    	  370.91702    
  50.000000    	  51.000000    	  16.164446    	  1.1449503    
  51.000000    	  52.000000    	  378.93724    	  362.47458    
  52.000000    	  53.000000    	  349.90096    	  331.54141    
  53.000000    	  54.000000    	  17.052757    	 0.89035758    
  54.000000    	  55.000000    	  308.14472    	  206.43547    
  55.000000    	  56.000000    	  248.86556    	  150.84551    
  56.000000    	  57.000000    	  213.73333    	  141.12796    
  57.000000    	  58.000000    	  18.235653    	 0.56644920    
  58.000000    	  59.000000    	  212.18188    	  193.34915    
  59.000000    	  60.000000    	  17.909531    	 0.49945239    
  60.000000    	  61.000000    	  17.964404    	 0.44475314    
  61.000000    	  62.000000    	  17.066119    	 0.38890039    
  62.000000    	  63.000000    	  17.168334    	 0.39037347    
  63.000000    	  64.000000    	  107.58294    	  91.539767    
  64.000000    	  65.000000    	  16.580791    	 0.38164718    
  65.000000    	  66.000000    	  15.890722    	 0.44094344    
  66.000000    	  67.000000    	  149.72386    	  133.46290    
  67.000000    	  68.000000    	  76.179831    	  58.785506    
  68.000000    	  69.000000    	  16.236264    	 0.70358835    
  69.000000    	  70.000000    	  16.125046    	 0.77594351    
  70.000000    	  71.000000    	  30.888740    	  13.895702    
  71.000000    	  72.000000    	  15.553663    	 0.81085546    
  72.000000    	  73.000000    	  16.658157    	 0.92062603    
  73.000000    	  74.000000    	  15.621415    	 0.96044023    
  74.000000    	  75.000000    	  22.441864    	  7.2792269    
  75.000000    	  76.000000    	  15.904123    	  1.0701967    
  76.000000    	  77.000000    	  15.943874    	  1.3133425    
  77.000000    	  78.000000    	  14.707118    	  1.0930554    
  78.000000    	  79.000000    	 -87.716931    	  102.82063    
  79.000000    	  80.000000    	  13.242991    	  1.1175670    
  80.000000    	  81.000000    	  5.6045992    	 0.18771296    
  81.000000    	  82.000000    	  4.8828149    	 0.17220082    
  82.000000    	  83.000000    	  4.2081144    	 0.16123864    
  83.000000    	  84.000000    	  4.4760666    	 0.15267590    
  84.000000    	  85.000000    	  4.2715627    	 0.14321954    
  85.000000    	  86.000000    	  3.9177961    	 0.13583362    
  86.000000    	  87.000000    	  3.6255110    	 0.13156314    
  87.000000    	  88.000000    	  3.4872661    	 0.13308496    
  88.000000    	  89.000000    	  3.0386173    	 0.12352309    
  89.000000    	  90.000000    	  2.9911479    	 0.11370049    
  90.000000    	  91.000000    	  2.9414621    	 0.10362868    
  91.000000    	  92.000000    	  2.7589695    	 0.94285233E-01
  92.000000    	  93.000000    	  2.6151173    	 0.92843217E-01
  93.000000    	  94.000000    	  2.1398433    	 0.86202932E-01
  94.000000    	  95.000000    	  2.1229296    	 0.83822656E-01
  95.000000    	  96.000000    	  1.9487503    	 0.78707243E-01
  96.000000    	  97.000000    	  1.9531547    	 0.75021843E-01
  97.000000    	  98.000000    	  1.8199958    	 0.70682594E-01
  98.000000    	  99.000000    	  1.7056105    	 0.66347024E-01
  99.000000    	  100.00000    	  1.5992261    	 0.63523288E-01
