# pt34_23   
# underflow	  29.694447    	  29.694447    
# overflow	  0.0000000    	  0.0000000    
# sum	  83160.858    	  2427.0003    
# xmin	xmax	cross	numerror
 0.10000000    	  1.0000000    	  203.20742    	  64.827332    
  1.0000000    	  2.0000000    	  2122.9721    	  265.10845    
  2.0000000    	  3.0000000    	  3040.5695    	  319.50724    
  3.0000000    	  4.0000000    	  3442.3719    	  342.82118    
  4.0000000    	  5.0000000    	  3390.5405    	  343.41029    
  5.0000000    	  6.0000000    	  3367.2595    	  343.91963    
  6.0000000    	  7.0000000    	  3065.1472    	  328.82952    
  7.0000000    	  8.0000000    	  3091.4646    	  336.71028    
  8.0000000    	  9.0000000    	  2763.0399    	  317.69644    
  9.0000000    	  10.000000    	  2474.1343    	  302.94953    
  10.000000    	  11.000000    	  2426.9462    	  301.98975    
  11.000000    	  12.000000    	  2201.6965    	  289.12851    
  12.000000    	  13.000000    	  2333.7935    	  297.42141    
  13.000000    	  14.000000    	  2060.7349    	  282.56768    
  14.000000    	  15.000000    	  1814.3733    	  264.05877    
  15.000000    	  16.000000    	  1621.6639    	  250.99650    
  16.000000    	  17.000000    	  1648.0722    	  254.26075    
  17.000000    	  18.000000    	  1563.6308    	  246.32432    
  18.000000    	  19.000000    	  1378.7677    	  230.09799    
  19.000000    	  20.000000    	  1104.7243    	  206.53097    
  20.000000    	  21.000000    	  1242.6223    	  217.50006    
  21.000000    	  22.000000    	  1193.4877    	  217.74934    
  22.000000    	  23.000000    	  949.86743    	  196.12573    
  23.000000    	  24.000000    	  986.75587    	  200.79080    
  24.000000    	  25.000000    	  829.05146    	  183.95990    
  25.000000    	  26.000000    	  870.14180    	  187.04387    
  26.000000    	  27.000000    	  750.90099    	  173.61087    
  27.000000    	  28.000000    	  840.37145    	  183.31111    
  28.000000    	  29.000000    	  685.22050    	  169.31072    
  29.000000    	  30.000000    	  871.82677    	  208.94368    
  30.000000    	  31.000000    	  678.98053    	  175.46382    
  31.000000    	  32.000000    	  804.76906    	  189.80295    
  32.000000    	  33.000000    	  608.34046    	  155.24410    
  33.000000    	  34.000000    	  623.40161    	  172.38722    
  34.000000    	  35.000000    	  584.26747    	  169.95918    
  35.000000    	  36.000000    	  783.84385    	  186.60919    
  36.000000    	  37.000000    	  569.46214    	  159.48521    
  37.000000    	  38.000000    	  584.94283    	  160.37580    
  38.000000    	  39.000000    	  582.12100    	  161.41566    
  39.000000    	  40.000000    	  572.49968    	  175.42723    
  40.000000    	  41.000000    	  599.37078    	  202.12513    
  41.000000    	  42.000000    	  576.91246    	  183.64703    
  42.000000    	  43.000000    	  640.78935    	  202.37133    
  43.000000    	  44.000000    	  561.25264    	  181.58627    
  44.000000    	  45.000000    	  551.42670    	  172.34453    
  45.000000    	  46.000000    	  602.35177    	  178.54562    
  46.000000    	  47.000000    	  532.81837    	  188.89722    
  47.000000    	  48.000000    	  469.55363    	  181.44297    
  48.000000    	  49.000000    	  524.73522    	  178.75181    
  49.000000    	  50.000000    	  622.02897    	  215.42595    
  50.000000    	  51.000000    	  469.44644    	  212.02238    
  51.000000    	  52.000000    	  491.17245    	  196.38223    
  52.000000    	  53.000000    	  664.38059    	  228.91398    
  53.000000    	  54.000000    	  487.35359    	  202.11060    
  54.000000    	  55.000000    	  547.95972    	  216.76092    
  55.000000    	  56.000000    	  654.02191    	  288.50247    
  56.000000    	  57.000000    	  544.81570    	  224.73098    
  57.000000    	  58.000000    	  517.73240    	  261.23276    
  58.000000    	  59.000000    	  545.16503    	  243.93495    
  59.000000    	  60.000000    	  485.42252    	  223.41846    
  60.000000    	  61.000000    	  538.60840    	  221.77002    
  61.000000    	  62.000000    	  341.25231    	  253.40448    
  62.000000    	  63.000000    	  516.18066    	  233.22722    
  63.000000    	  64.000000    	  498.96737    	  206.06006    
  64.000000    	  65.000000    	  498.77936    	  301.20133    
  65.000000    	  66.000000    	  720.11172    	  325.72472    
  66.000000    	  67.000000    	  496.32986    	  356.88103    
  67.000000    	  68.000000    	  502.68992    	  229.70872    
  68.000000    	  69.000000    	  458.10263    	  327.62056    
  69.000000    	  70.000000    	  425.33721    	  199.24287    
  70.000000    	  71.000000    	  567.59301    	  410.23686    
  71.000000    	  72.000000    	  681.62935    	  345.45413    
  72.000000    	  73.000000    	  594.48292    	  346.69734    
  73.000000    	  74.000000    	  822.80196    	  481.69329    
  74.000000    	  75.000000    	  372.73834    	  234.83326    
  75.000000    	  76.000000    	  1304.3562    	  924.13382    
  76.000000    	  77.000000    	  563.42135    	  399.02207    
  77.000000    	  78.000000    	  452.44772    	  323.53797    
  78.000000    	  79.000000    	  457.95605    	  233.40045    
  79.000000    	  80.000000    	  500.68213    	  289.16159    
  80.000000    	  81.000000    	  0.0000000    	  0.0000000    
  81.000000    	  82.000000    	  0.0000000    	  0.0000000    
  82.000000    	  83.000000    	  0.0000000    	  0.0000000    
  83.000000    	  84.000000    	  0.0000000    	  0.0000000    
  84.000000    	  85.000000    	  0.0000000    	  0.0000000    
  85.000000    	  86.000000    	  0.0000000    	  0.0000000    
  86.000000    	  87.000000    	  0.0000000    	  0.0000000    
  87.000000    	  88.000000    	  0.0000000    	  0.0000000    
  88.000000    	  89.000000    	  0.0000000    	  0.0000000    
  89.000000    	  90.000000    	  0.0000000    	  0.0000000    
  90.000000    	  91.000000    	  0.0000000    	  0.0000000    
  91.000000    	  92.000000    	  0.0000000    	  0.0000000    
  92.000000    	  93.000000    	  0.0000000    	  0.0000000    
  93.000000    	  94.000000    	  0.0000000    	  0.0000000    
  94.000000    	  95.000000    	  0.0000000    	  0.0000000    
  95.000000    	  96.000000    	  0.0000000    	  0.0000000    
  96.000000    	  97.000000    	  0.0000000    	  0.0000000    
  97.000000    	  98.000000    	  0.0000000    	  0.0000000    
  98.000000    	  99.000000    	  0.0000000    	  0.0000000    
  99.000000    	  100.00000    	  0.0000000    	  0.0000000    
